# Animation run summary
animation_type,AStar_animation
total_frames,1176
total_time_s,11.7600
success,True
num_collisions,561
num_replans,1220
path_length,282.4976
trajectory_image,animation_run_20260218_115730_AStar_animation_trajectory.png

"# Collisions (time_s, frame, type, detail)"
time_s,frame,type,detail
6.8700,687,ellipse,obstacle indices [1]
6.8800,688,ellipse,obstacle indices [1]
6.8900,689,ellipse,obstacle indices [1]
6.9000,690,ellipse,obstacle indices [1]
6.9100,691,ellipse,obstacle indices [1]
6.9200,692,ellipse,obstacle indices [1]
6.9300,693,ellipse,obstacle indices [1]
6.9400,694,ellipse,obstacle indices [1]
6.9500,695,ellipse,obstacle indices [1]
6.9800,698,ellipse,obstacle indices [1]
6.9900,699,ellipse,obstacle indices [1]
7.0000,700,ellipse,obstacle indices [1]
7.0100,701,ellipse,obstacle indices [1]
7.0200,702,ellipse,obstacle indices [1]
7.0300,703,ellipse,obstacle indices [1]
7.0400,704,ellipse,obstacle indices [1]
7.0500,705,ellipse,obstacle indices [1]
7.0600,706,ellipse,obstacle indices [1]
7.0700,707,ellipse,obstacle indices [1]
7.0800,708,ellipse,obstacle indices [1]
7.0900,709,ellipse,obstacle indices [1]
7.1000,710,ellipse,obstacle indices [1]
7.1100,711,ellipse,obstacle indices [1]
7.1200,712,ellipse,obstacle indices [1]
7.1300,713,ellipse,obstacle indices [1]
7.1400,714,ellipse,obstacle indices [1]
7.1500,715,ellipse,obstacle indices [1]
7.1600,716,ellipse,obstacle indices [1]
7.1700,717,ellipse,obstacle indices [1]
7.1800,718,ellipse,obstacle indices [1]
7.1900,719,ellipse,obstacle indices [1]
7.2000,720,ellipse,obstacle indices [1]
7.2100,721,ellipse,obstacle indices [1]
7.2200,722,ellipse,obstacle indices [1]
7.2300,723,ellipse,obstacle indices [1]
7.2400,724,ellipse,obstacle indices [1]
7.2500,725,ellipse,obstacle indices [1]
7.2600,726,ellipse,obstacle indices [1]
7.2700,727,ellipse,obstacle indices [1]
7.2800,728,ellipse,obstacle indices [1]
7.2900,729,ellipse,obstacle indices [1]
7.3000,730,ellipse,obstacle indices [1]
7.3100,731,ellipse,obstacle indices [1]
7.3200,732,ellipse,obstacle indices [1]
7.3300,733,ellipse,obstacle indices [1]
7.3400,734,ellipse,obstacle indices [1]
7.3500,735,ellipse,obstacle indices [1]
7.3600,736,ellipse,obstacle indices [1]
7.3700,737,ellipse,obstacle indices [1]
7.3800,738,ellipse,obstacle indices [1]
7.3900,739,ellipse,obstacle indices [1]
7.4000,740,ellipse,obstacle indices [1]
7.4100,741,ellipse,obstacle indices [1]
7.4200,742,ellipse,obstacle indices [1]
7.4300,743,ellipse,obstacle indices [1]
7.4400,744,ellipse,obstacle indices [1]
7.4500,745,ellipse,obstacle indices [1]
7.4600,746,ellipse,obstacle indices [1]
7.4700,747,ellipse,obstacle indices [1]
7.4800,748,ellipse,obstacle indices [1]
7.4900,749,ellipse,obstacle indices [1]
7.5000,750,ellipse,obstacle indices [1]
7.5100,751,ellipse,obstacle indices [1]
7.5200,752,ellipse,obstacle indices [1]
7.5300,753,ellipse,obstacle indices [1]
7.5400,754,ellipse,obstacle indices [1]
7.5500,755,ellipse,obstacle indices [1]
7.5600,756,ellipse,obstacle indices [1]
7.5700,757,ellipse,obstacle indices [1]
7.5800,758,ellipse,obstacle indices [1]
